0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:28 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=false&STYLES&LAYERS=capatsig%3Amanzanas%2Ccapatsig%3Acalles&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=557060.2588675916%2C6137435.834541192%2C566833.2458652686%2C6147208.821538869 HTTP/1.1" 200 22658
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:29 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=false&STYLES&LAYERS=capatsig%3Amanzanas%2Ccapatsig%3Acalles&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6137435.834541192%2C586379.2198606227%2C6147208.821538869 HTTP/1.1" 200 27337
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:29 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=false&STYLES&LAYERS=capatsig%3Amanzanas%2Ccapatsig%3Acalles&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6137435.834541192%2C576606.2328629475%2C6147208.821538869 HTTP/1.1" 200 25161
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:29:29 -0300] "GET /IniciarSesion HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:30:03 -0300] "POST /IniciarSesion HTTP/1.1" 500 3419
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:30:04 -0300] "GET /componenteMapa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:30:04 -0300] "GET /Openlayers/v3/ol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:30:04 -0300] "GET /map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:30:37 -0300] "GET /registrarPromo.html HTTP/1.1" 304 -
127.0.0.1 - - [10/Jun/2018:14:32:27 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:32:27 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:32:27 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jun/2018:14:32:27 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - - [10/Jun/2018:14:32:27 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:32:27 -0300] "GET /registrarPromo.html HTTP/1.1" 200 21038
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:32:27 -0300] "GET /registrarPromo.html HTTP/1.1" 200 21038
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:32:30 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
127.0.0.1 - - [10/Jun/2018:14:33:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:33:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jun/2018:14:33:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jun/2018:14:33:03 -0300] "GET /manager/text/list HTTP/1.1" 200 292
127.0.0.1 - - [10/Jun/2018:14:33:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:03 -0300] "GET /registrarPromo.html HTTP/1.1" 200 20790
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /geoserver/wfs?service=WFS&version=1.1.0&request=GetFeature&outputFormat=application%2Fjson&typenames=capatsig%3Apromocion&featureNS=www.capatsig.uy&featureType=promocion&srsname=EPSG%3A32721&geometryName=geometry&bound=567000%2C+6135000%2C+585000%2C+6145000 HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /geoserver/wfs?service=WFS&version=1.1.0&request=GetFeature&outputFormat=application%2Fjson&typenames=capatsig%3Apois&featureNS=www.capatsig.uy&featureType=pois&srsname=EPSG%3A32721&geometryName=geometry&bound=567000%2C+6135000%2C+585000%2C+6145000 HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6137435.834541192%2C576606.2328629475%2C6147208.821538869 HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6137435.834541192%2C586379.2198606227%2C6147208.821538869 HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:07 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6127662.847543515%2C576606.2328629475%2C6137435.834541192 HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:08 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6127662.847543515%2C586379.2198606227%2C6137435.834541192 HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:08 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6147208.821538869%2C576606.2328629475%2C6156981.808536546 HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:08 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=false&STYLES&LAYERS=capatsig%3Amanzanas%2Ccapatsig%3Acalles%2Ccapatsig%3Apois&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6127662.847543515%2C586379.2198606227%2C6137435.834541192 HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:08 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=false&STYLES&LAYERS=capatsig%3Amanzanas%2Ccapatsig%3Acalles%2Ccapatsig%3Apois&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=566833.2458652705%2C6127662.847543515%2C576606.2328629475%2C6137435.834541192 HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:33:08 -0300] "GET /geoserver/wms?SERVICE=WMS&VERSION=1.1.0&REQUEST=GetMap&FORMAT=image%2Fjpeg&TRANSPARENT=true&tiled=true&STYLES&LAYERS=capatsig%3Amontevideo&srsname=EPSG%3A32721&bound=567000%2C%206135000%2C%20585000%2C%206145000&tilesOrigin=567000%2C6135000&WIDTH=256&HEIGHT=256&SRS=EPSG%3A32721&BBOX=576606.2328629456%2C6147208.821538869%2C586379.2198606227%2C6156981.808536546 HTTP/1.1" 200 2707
